Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
213,71,"192.168.1.10",441770708241923,10781010970210
214,71,"192.168.1.4",266870439201023,10781011019753
214,71,"192.168.1.10",441770708263071,10781011022204
215,71,"192.168.1.10",441770708276460,10781011024402
215,71,"192.168.1.4",266870439215394,10781011026739
71,71,"192.168.2.10",441770708289923,10781011070496
216,72,"192.168.1.4",266870439387727,10781011174637
216,72,"192.168.1.10",441770708449015,10781011177564
217,72,"192.168.1.4",266870439409171,10781011228225
217,72,"192.168.1.10",441770708470237,10781011230659
218,72,"192.168.1.4",266870439423282,10781011232944
218,72,"192.168.1.10",441770708484552,10781011235228
72,72,"192.168.2.10",441770708498126,10781011279129
219,73,"192.168.1.10",441770708657293,10781011383088
219,73,"192.168.1.4",266870439596060,10781011388104
220,73,"192.168.1.4",266870439617634,10781011436539
220,73,"192.168.1.10",441770708678441,10781011438966
221,73,"192.168.1.4",266870439631671,10781011441184
221,73,"192.168.1.10",441770708693275,10781011443536
73,73,"192.168.2.10",441770708707052,10781011487205
222,74,"192.168.1.4",266870439804282,10781011591173
222,74,"192.168.1.10",441770708865756,10781011593682
223,74,"192.168.1.4",266870439826023,10781011645224
223,74,"192.168.1.10",441770708886849,10781011647716
224,74,"192.168.1.4",266870439840116,10781011650006
224,74,"192.168.1.10",441770708900960,10781011652337
74,74,"192.168.2.10",441770708914682,10781011695489
225,75,"192.168.1.10",441770709073626,10781011798644
225,75,"192.168.1.4",266870440016134,10781011801135
226,75,"192.168.1.10",441770709094941,10781011860272
226,75,"192.168.1.4",266870440038634,10781011864563
227,75,"192.168.1.10",441770709109034,10781011868980
227,75,"192.168.1.4",266870440052542,10781011875949
75,75,"192.168.2.10",441770709122775,10781011903763
228,76,"192.168.1.4",266870440221023,10781012009219
228,76,"192.168.1.10",441770709283386,10781012011717
229,76,"192.168.1.4",266870440242394,10781012061741
229,76,"192.168.1.10",441770709304645,10781012064267
230,76,"192.168.1.4",266870440256523,10781012066418
230,76,"192.168.1.10",441770709318626,10781012070894
76,76,"192.168.2.10",441770709332515,10781012112254
231,77,"192.168.1.10",441770709490608,10781012215700
231,77,"192.168.1.4",266870440429282,10781012218193
232,77,"192.168.1.10",441770709511886,10781012269875
232,77,"192.168.1.4",266870440451005,10781012272185
233,77,"192.168.1.10",441770709525775,10781012274474
233,77,"192.168.1.4",266870440465931,10781012276836
77,77,"192.168.2.10",441770709539404,10781012320531
234,78,"192.168.1.4",266870440637245,10781012424223
234,78,"192.168.1.10",441770709699015,10781012426698
235,78,"192.168.1.4",266870440658986,10781012478906
235,78,"192.168.1.10",441770709720145,10781012481821
236,78,"192.168.1.4",266870440672820,10781012484210
236,78,"192.168.1.10",441770709734849,10781012486559
